key,default
account.appInfoSection,App Information
account.displayNameLabel,Display Name
account.displayNameMaxError,Display name must be {max} characters or less
account.displayNameMinError,Display name must be at least {min} characters
account.emailSection,Email
account.emptyDisplayName,Display name cannot be empty
account.placeholder,Your display name
account.profileSection,Profile Information
account.saveChanges,Save Changes
account.sectionActions,Account Actions
account.signOut,Sign Out
account.successUpdated,Profile updated successfully
account.title,Account
account.userIdLabel,User ID
account.versionLabel,Version
auth.checkEmail.backPrefix,Back to
auth.checkEmail.bodyRecovery,"If an account exists for that address, we sent a password reset link. Open it on this device to choose a new password."
auth.checkEmail.bodySignup,We sent a confirmation link to your inbox. Open it on this device to finish signing up.
auth.checkEmail.messageSent,Message sent.
auth.checkEmail.missingEmail,Missing email. Go back and try again.
auth.checkEmail.resendButton,Resend email
auth.checkEmail.signInBold,Sign In
auth.checkEmail.titleRecovery,Check your email
auth.checkEmail.titleSignup,Confirm your email
auth.forgotPassword.backToSignIn,Back to Sign In
auth.forgotPassword.emailPlaceholder,Email
auth.forgotPassword.enterEmailError,Please enter your email
auth.forgotPassword.sendButton,Send reset link
auth.forgotPassword.subtitle,We'll email you a link to reset it.
auth.forgotPassword.title,Forgot password
auth.login.emailPlaceholder,Email
auth.login.fillAllFieldsError,Please fill in all fields
auth.login.forgotPassword,Forgot password?
auth.login.noAccountPrefix,Don't have an account?
auth.login.passwordPlaceholder,Password
auth.login.signInButton,Sign In
auth.login.signUpCta,Sign Up
auth.login.subtitle,Track your daily Word scores
auth.login.title,Word Tournaments
auth.resetPassword.backToSignIn,Back to Sign In
auth.resetPassword.chooseSubtitle,Enter and confirm your new password.
auth.resetPassword.chooseTitle,Choose a new password
auth.resetPassword.confirmPlaceholder,Confirm new password
auth.resetPassword.fillAllFieldsError,Please fill in all fields
auth.resetPassword.forgotPasswordLink,Forgot password
auth.resetPassword.newPasswordPlaceholder,New password
auth.resetPassword.passwordTooShortError,Password must be at least 6 characters
auth.resetPassword.passwordsMismatchError,Passwords do not match
auth.resetPassword.updateButton,Update password
auth.resetPassword.waitingSubtitle,"Open the reset link from your email on this device. If you already did, try requesting a new link from Forgot password."
auth.resetPassword.waitingTitle,Reset password
auth.signup.alreadyHavePrefix,Already have an account?
auth.signup.confirmPasswordPlaceholder,Confirm password
auth.signup.createButton,Create Account
auth.signup.displayNameMaxError,Display name must be {max} characters or less
auth.signup.displayNameMinError,Display name must be at least {min} characters
auth.signup.displayNamePlaceholder,Display name
auth.signup.emailPlaceholder,Email
auth.signup.fillAllFieldsError,Please fill in all fields
auth.signup.passwordPlaceholder,Password (min 6 characters)
auth.signup.passwordTooShortError,Password must be at least 6 characters
auth.signup.passwordsMismatchError,Passwords do not match
auth.signup.signInCta,Sign In
auth.signup.subtitle,Join Word Tournaments
auth.signup.title,Create Account
dailySubmission.closedInputPlaceholder,Submission window closed
dailySubmission.closedSubmitButton,Submission Closed
dailySubmission.closedWindow,"Submission window closed, opens tomorrow at 12:01AM EST"
dailySubmission.cutoffCountdownSuffix,until cutoff
dailySubmission.dbInvalidGridError,Invalid Word grid. Please paste the complete result including the emoji rows.
dailySubmission.dbSaveFallbackError,Unable to save submission
dailySubmission.emptySubmissionError,Please paste your result for today's Word Game
dailySubmission.formTitle,Daily Word Game Submission
dailySubmission.instruction1,1. Play today's Word Game
dailySubmission.instruction2,2. Tap the Share button
dailySubmission.instruction3,3. Paste the complete result below
dailySubmission.instructionsTitle,How to submit:
dailySubmission.introModal.createSectionTitle,How to create a tournament
dailySubmission.introModal.createStep1,1. Open the Manage tab and create a tournament
dailySubmission.introModal.createStep2,2. Copy the join code and share with your friends
dailySubmission.introModal.createStep3,3. View the tournament in drafts and start it when you're ready
dailySubmission.introModal.dismissButton,Got it
dailySubmission.introModal.joinSectionTitle,How to join a tournament
dailySubmission.introModal.joinStep1,1. Ask your friend who created the tournament to share the join code
dailySubmission.introModal.joinStep2,2. Go to the ongoing tournaments tab and click 'join by code'
dailySubmission.introModal.joinStep3,3. Paste the code and click 'join'. Your friend will start the tournament when everyone has joned
dailySubmission.introModal.submitSectionTitle,How to submit your score
dailySubmission.introModal.submitStep1,1. Play today's NYT Word Game
dailySubmission.introModal.submitStep2,2. Click the share button to copy the result
dailySubmission.introModal.submitStep3,3. Paste the full result on this screen
dailySubmission.introModal.title,Welcome to Word Game Battle
dailySubmission.invalidGridError,Invalid Word Game grid. Please paste the complete result including the emoji rows.
dailySubmission.nextSubmissionInfo,Come back tomorrow for your next submission!
dailySubmission.openInputPlaceholder,Paste your Word Game result here...
dailySubmission.parseFailedError,Something went wrong parsing your result. Please try pasting it again.
dailySubmission.pastCutoffError,"Submission for today is closed, you can submit tomorrow's starting at 12:01AM EST."
dailySubmission.scoreAppliedInfo,Your score has been applied to all active tournaments you're participating in.
dailySubmission.submitButton,Submit
dailySubmission.todayDateLabel,Today
dailySubmission.todaySubmissionTitle,Today's Submission
draftTournament.copyButton,Copy
draftTournament.discardBody,This will cancel the tournament and remove it from your drafts. This cannot be undone.
draftTournament.discardButton,Discard tournament
draftTournament.discardFailed,Failed to discard tournament
draftTournament.discardKeep,Keep draft
draftTournament.discardDestructive,Discard
